"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"04/16/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","49","27","22"
"04/17/2022","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","38","20","11"
"04/18/2022","26","NO2","Near Road","11-001-0051","AQS","5","25","14","26"
"04/19/2022","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","19","13"
"04/20/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","42","21","30"
"04/21/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42","33","35"
"04/22/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","51","42","35"
"04/23/2022","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","58","43","30"
"04/24/2022","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","67","48","17"
"04/25/2022","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","3","41","51","18"
"04/26/2022","50","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","5","34","50","16"
"04/27/2022","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","39","30","8"
"04/28/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","42","20","9"
"04/29/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","49","31","42"
"04/30/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","11","49","38","36"
"05/01/2022","43","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","41","43","22"
"05/02/2022","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","61","50","42"
"05/03/2022","55","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","35","55","39"
"05/04/2022","43","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","6","33","43","23"
"05/05/2022","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31","28","19"
"05/06/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","42","28","18"
"05/07/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","42","8","14"
"05/08/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","44","26","31"
"05/09/2022","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","58","35","42"
"05/10/2022","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","67","28","37"
"05/11/2022","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","48","44","39"
"05/12/2022","34","PM2.5","Near Road","11-001-0051","AQS","6","32","34","32"
"05/13/2022","28","PM2.5","Near Road","11-001-0051","AQS","6","20","28","17"
"05/14/2022","24","PM2.5","Near Road","11-001-0051","AQS","6","20","24","12"
"05/15/2022","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","40","28","18"
"05/16/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","44","32","32"
"05/17/2022","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","67","28","34"
"05/18/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","44","22","21"
"05/19/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","49","40","38"
"05/20/2022","71","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","71","64","32"
"05/21/2022","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","74","58","23"
"05/22/2022","48","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","44","48","13"
"05/23/2022","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","38","23","10"
"05/24/2022","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","30","23","23"
"05/25/2022","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","33","25","18"
"05/26/2022","31","PM2.5","Near Road","11-001-0051","AQS","5","26","31","19"
"05/27/2022","35","PM2.5","Near Road","11-001-0051","AQS","5","31","35","18"
"05/28/2022","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","37","22","13"
"05/29/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","51","36","25"
"05/30/2022","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","54","49","17"
"05/31/2022","58","PM2.5","Near Road","11-001-0051","AQS","6","58","58","37"
"06/01/2022","57","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","8","51","57","30"
"06/02/2022","57","PM2.5","Near Road","11-001-0051","AQS","6","50","57","23"
"06/03/2022","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","30","38"
"06/04/2022","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","84","56","42"
"06/05/2022","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","54","45","37"
"06/06/2022","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","54","48","27"
"06/07/2022","48","PM2.5","Near Road","11-001-0051","AQS","6","44","48","21"
"06/08/2022","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","77","64","18"
"06/09/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","51","30","10"
"06/10/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","36","27"
"06/11/2022","45","PM2.5","Near Road","11-001-0051","AQS","6","34","45","22"
"06/12/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","44","41","22"
"06/13/2022","53","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","51","53","28"
"06/14/2022","57","PM2.5","Near Road","11-001-0051","AQS","7","44","57","25"
"06/15/2022","122","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","122","58","27"
"06/16/2022","48","PM2.5","Near Road","11-001-0051","AQS","6","40","48","21"
"06/17/2022","71","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","71","43","21"
"06/18/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","41","22","22"
"06/19/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","41","22","9"
"06/20/2022","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","54","31","31"
"06/21/2022","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","74","46","32"
"06/22/2022","105","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","105","60","28"
"06/23/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","42","28","24"
"06/24/2022","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","87","44","24"
"06/25/2022","54","PM2.5","Near Road","11-001-0051","AQS","6","50","54","28"
"06/26/2022","45","PM2.5","Near Road","11-001-0051","AQS","5","44","45","15"
"06/27/2022","48","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","42","48","13"
"06/28/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","49","28","33"
"06/29/2022","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","67","50","30"
"06/30/2022","115","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","115","60","24"
"07/01/2022","56","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","50","56","21"
"07/02/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","41","37","14"
"07/03/2022","57","PM2.5","Near Road","11-001-0051","AQS","5","50","57","29"
"07/04/2022","128","PM2.5","RIVER TERRACE","11-001-0041","AQS","8","67","128","25"
"07/05/2022","62","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","6","39","62","22"
"07/06/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","38","22"
"07/07/2022","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","61","38","21"
"07/08/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","51","36","17"
"07/09/2022","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","40","30","17"
"07/10/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","40","19"
"07/11/2022","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","84","42","19"
"07/12/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","34","16"
"07/13/2022","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","74","42","28"
"07/14/2022","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","58","41","37"
"07/15/2022","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","84","50","31"
"07/16/2022","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","50","46","17"
"07/17/2022","46","PM2.5","Near Road","11-001-0051","AQS","6","40","46","15"
"07/18/2022","40","PM2.5","Near Road","11-001-0051","AQS","6","35","40","19"
"07/19/2022","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","54","39","23"
"07/20/2022","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","77","50","21"
"07/21/2022","53","PM2.5","Near Road","11-001-0051","AQS","7","49","53","29"
"07/22/2022","74","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","74","55","31"
"07/23/2022","80","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","80","55","21"
"07/24/2022","71","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","71","48","18"
"07/25/2022","43","PM2.5","Near Road","11-001-0051","AQS","6","42","43","15"
"07/26/2022","43","PM2.5","Near Road","11-001-0051","AQS","6","33","43","25"
"07/27/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","51","45","22"
"07/28/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","42","32","27"
"07/29/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","45","43","23"
"07/30/2022","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","46","33","25"
"07/31/2022","44","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","9","44","44","24"
"08/01/2022","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","42","30","16"
"08/02/2022","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","38","18"
"08/03/2022","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","77","39","25"
"08/04/2022","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","77","51","20"
"08/05/2022","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","67","41","24"
"08/06/2022","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","30","12"
"08/07/2022","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","29","25","10"
"08/08/2022","38","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","38","38","20"
"08/09/2022","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","43","34","18"
"08/10/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","45","35","20"
"08/11/2022","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","50","29","13"
"08/12/2022","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","36","25","30"
"08/13/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","44","22","26"
"08/14/2022","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","46","28","22"
"08/15/2022","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","37","33","22"
"08/16/2022","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","50","30","25"
"08/17/2022","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","48","38","25"
"08/18/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","51","33","36"
"08/19/2022","45","PM2.5","Near Road","11-001-0051","AQS","8","45","45","25"
"08/20/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","35","19"
"08/21/2022","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","32","23","10"
"08/22/2022","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","37","35","20"
"08/23/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","45","32","30"
"08/24/2022","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","50","42","35"
"08/25/2022","56","PM2.5","Near Road","11-001-0051","AQS","9","47","56","29"
"08/26/2022","58","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","58","54","28"
"08/27/2022","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","61","53","30"
"08/28/2022","56","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","11","47","56","27"
"08/29/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","45","36","17"
"08/30/2022","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","30","13"
"08/31/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","34","22"
"09/01/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","41","32","31"
"09/02/2022","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","47","38","25"
"09/03/2022","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","46","32","21"
"09/04/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","39","15"
"09/05/2022","34","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","33","34","18"
"09/06/2022","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","32","24","13"
"09/07/2022","24","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","24","23","16"
"09/08/2022","37","PM2.5","Near Road","11-001-0051","AQS","9","34","37","30"
"09/09/2022","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","11","51","40","32"
"09/10/2022","39","PM2.5","Near Road","11-001-0051","AQS","7","31","39","20"
"09/11/2022","28","PM2.5","Near Road","11-001-0051","AQS","7","22","28","10"
"09/12/2022","30","PM2.5","Near Road","11-001-0051","AQS","6","25","30","16"
"09/13/2022","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","40","28","17"
"09/14/2022","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","43","30","28"
"09/15/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","41","40","27"
"09/16/2022","46","PM2.5","Near Road","11-001-0051","AQS","9","46","46","35"
"09/17/2022","54","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","13","51","54","28"
"09/18/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","49","42","26"
"09/19/2022","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow","7","44","52","26"
"09/20/2022","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","45","44","33"
"09/21/2022","80","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","80","51","28"
"09/22/2022","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","35","34","20"
"09/23/2022","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","33","14","9"
"09/24/2022","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","34","24","24"
"09/25/2022","36","PM2.5","Near Road","11-001-0051","AQS","7","35","36","21"
"09/26/2022","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31","25","23"
"09/27/2022","33","Ozone","RIVER TERRACE","11-001-0041","AQS","2","33","20","16"
"09/28/2022","23","Ozone","RIVER TERRACE","11-001-0041","AQS","3","23","22","17"
"09/29/2022","26","Ozone","RIVER TERRACE","11-001-0041","AQS","3","26","19","18"
"09/30/2022","26","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","3","15","26","19"
"10/01/2022","20","PM2.5","Near Road","11-001-0051","AirNow","3","16","20","."
"10/02/2022","19","Ozone","RIVER TERRACE","11-001-0041","AirNow",".","19","16","."
"10/03/2022","21","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","21","13","."
"10/04/2022","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","26","13","."
"10/05/2022","24","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","24","18","."
"10/06/2022","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","43","37","."
"10/07/2022","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","49","40","."
"10/08/2022","23","Ozone","RIVER TERRACE","11-001-0041","AirNow",".","23","22","."
"10/09/2022","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","33","38","."
"10/10/2022","43","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","40","43","."
"10/11/2022","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","41","40","."
"10/12/2022","44","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","40","44","."
"10/13/2022","30","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","27","30","."
"10/14/2022","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","32","35","."
"10/15/2022","55","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","36","55","."
"10/16/2022","52","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","32","52","."
"10/17/2022","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","27","38","."
"10/18/2022","22","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","22","18","."
"10/19/2022","20","Ozone","RIVER TERRACE","11-001-0041","AirNow",".","20","15","."
"10/20/2022","27","Ozone","RIVER TERRACE","11-001-0041","AirNow",".","27","25","."
"10/21/2022","44","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","34","44","."
"10/22/2022","60","PM2.5","Near Road","11-001-0051","AirNow",".","41","60","."
"10/23/2022","48","PM2.5","Near Road","11-001-0051","AirNow",".","31","48","."
"10/24/2022","33","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","19","33","."
"10/25/2022","52","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","12","52","."
"10/26/2022","31","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","21","31","."
"10/27/2022","27","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","27","14","."
"10/28/2022","26","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","18","26","."
"10/29/2022","42","PM2.5","Near Road","11-001-0051","AirNow",".","29","42","."
"10/30/2022","55","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","31","55","."
"10/31/2022","51","PM2.5","Near Road","11-001-0051","AirNow",".","20","51","."
"11/01/2022","40","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","29","40","."
"11/02/2022","51","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","33","51","."
"11/03/2022","53","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","31","53","."
"11/04/2022","49","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","21","49","."
"11/05/2022","36","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","30","36","."
"11/06/2022","39","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","24","39","."
"11/07/2022","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","40","30","."
