"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"11/08/2022","26","Ozone","RIVER TERRACE","11-001-0041","AirNow",".","26","21","."
"11/09/2022","28","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","26","28","."
"11/10/2022","40","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","24","40","."
"11/11/2022","35","PM2.5","King Greenleaf Rec Center","11-001-0053","AirNow",".","19","35","."
"11/12/2022","41","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","32","41","."
"11/13/2022","20","Ozone","RIVER TERRACE","11-001-0041","AirNow",".","20","15","."
"11/14/2022","29","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","29","25","."
"11/15/2022","45","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","9","45","."
"11/16/2022","34","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","22","34","."
"11/17/2022","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","23","38","."
"11/18/2022","38","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","27","38","."
"11/19/2022","42","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","26","42","."
"11/20/2022","31","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AirNow",".","29","31","."
"11/21/2022","37","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","25","37","."
"11/22/2022","43","PM2.5","RIVER TERRACE","11-001-0041","AirNow",".","24","43","."
