"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","35","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","34","8","20","35"
"01/02/2020","49","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","16","25","20","43","49"
"01/03/2020","30","PM2.5","Near Road","11-001-0051","AQS","7","22",".","30","26"
"01/04/2020","32","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","26",".","32","21"
"01/05/2020","32","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31",".","14","32"
"01/06/2020","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","32",".","21","31"
"01/07/2020","45","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","13","20","15","32","45"
"01/08/2020","33","Ozone","Takoma Rec Center","11-001-0050","AQS","5","33","12","22","29"
"01/09/2020","30","NO2","RIVER TERRACE","11-001-0041","AQS","6","22","13","22","30"
"01/10/2020","34","NO2","Takoma Rec Center","11-001-0050","AQS","6","23","19","25","34"
"01/11/2020","31","PM2.5","Near Road","11-001-0051","AQS","7","31","22","31","24"
"01/12/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","7","10","15"
"01/13/2020","34","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","11","9","21","34","25"
"01/14/2020","43","PM2.5","Near Road","11-001-0051","AQS","11","8","17","43","35"
"01/15/2020","41","PM2.5","Near Road","11-001-0051","AQS","6","17","15","41","25"
"01/16/2020","33","Ozone","Takoma Rec Center","11-001-0050","AQS","6","33","16","20","15"
"01/17/2020","33","Ozone","Takoma Rec Center","11-001-0050","AQS","5","33","10","15","33"
"01/18/2020","29","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","27","13","26","29"
"01/19/2020","31","Ozone","Takoma Rec Center","11-001-0050","AQS","3","31","8","20","19"
"01/20/2020","38","Ozone","Takoma Rec Center","11-001-0050","AQS","2","38","10","21","25"
"01/21/2020","38","Ozone","Takoma Rec Center","11-001-0050","AQS","3","38","10","18","25"
"01/22/2020","42","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","8","29","19","42","42"
"01/23/2020","63","PM2.5","Near Road","11-001-0051","AQS","14","12","33","63","51"
"01/24/2020","50","PM2.5","Near Road","11-001-0051","AQS","8","34","22","50","39"
"01/25/2020","32","Ozone","Takoma Rec Center","11-001-0050","AQS","3","32","6","13","23"
"01/26/2020","29","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","27","6","12","29"
"01/27/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31","11","24","30"
"01/28/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","31","9","19","13"
"01/29/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","34","7","21","34"
"01/30/2020","37","NO2","Near Road","11-001-0051","AQS","8","25","15","35","37"
"01/31/2020","51","NO2","Near Road","11-001-0051","AQS","8","20","20","44","51"
"02/01/2020","62","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","13","19","23","62","34"
