"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"02/02/2020","36","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","7","29","12","36","36"
"02/03/2020","49","NO2","RIVER TERRACE","11-001-0041","AQS","10","27","19","32","49"
"02/04/2020","38","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","19","17","37","38"
"02/05/2020","32","PM2.5","RIVER TERRACE","11-001-0041","AQS","8","24","11","32","30"
"02/06/2020","25","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","17","6","21","25"
"02/07/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31","5","9","21"
"02/08/2020","38","NO2","Takoma Rec Center","11-001-0050","AQS","7","35","8","17","38"
"02/09/2020","37","NO2","Takoma Rec Center","11-001-0050","AQS","10","35","11","30","37"
"02/10/2020","28","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","28","11","28","17"
"02/11/2020","31","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","31","10","31","29"
"02/12/2020","34","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","27","14","34","22"
"02/13/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","6","18","21"
"02/14/2020","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","32","6","14","20"
"02/15/2020","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","32","11","20","29"
"02/16/2020","36","NO2","Takoma Rec Center","11-001-0050","AQS","8","28","14","35","36"
"02/17/2020","49","PM2.5","Near Road","11-001-0051","AQS","10","32","19","49","40"
"02/18/2020","45","PM2.5","Near Road","11-001-0051","AQS","8","32","19","45","40"
"02/19/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","35","9","20","28"
"02/20/2020","36","NO2","RIVER TERRACE","11-001-0041","AQS","6","32","14","30","36"
"02/21/2020","42","NO2","Takoma Rec Center","11-001-0050","AQS","7","36","11","20","42"
"02/22/2020","42","NO2","Takoma Rec Center","11-001-0050","AQS","10","38","15","31","42"
"02/23/2020","51","PM2.5","RIVER TERRACE","11-001-0041","AQS","15","41",".","51","48"
"02/24/2020","53","NO2","RIVER TERRACE","11-001-0041","AQS","10","33","27","51","53"
"02/25/2020","37","PM2.5","Near Road","11-001-0051","AQS","6","26","10","37","27"
"02/26/2020","35","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","28","11","35","22"
"02/27/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","36","6","13","12"
"02/28/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","35","9","22","21"
"02/29/2020","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","38","8","23","20"
"03/01/2020","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","40","10","25","40"
"03/02/2020","45","Ozone","Takoma Rec Center","11-001-0050","AQS","7","45","19","40","39"
"03/03/2020","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","15","33","36"
"03/04/2020","40","Ozone","Takoma Rec Center","11-001-0050","AQS","6","40","9","13","34"
"03/05/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","34","11","26","34"
"03/06/2020","38","NO2","RIVER TERRACE","11-001-0041","AQS","6","33","15","33","38"
"03/07/2020","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","39","5","13","17"
"03/08/2020","42","Ozone","Takoma Rec Center","11-001-0050","AQS","6","42","9","27","29"
"03/09/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","41","16","28","38"
"03/10/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","36","17","31","25"
"03/11/2020","33","NO2","Takoma Rec Center","11-001-0050","AQS","5","28","10","24","33"
"03/12/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","34","16","32","31"
"03/13/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","43","10","23","17"
"03/14/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","41","6","16","11"
"03/15/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","35","9","27","29"
"03/16/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","11","42","11","28","35"
"03/17/2020","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","33","14","26","25"
"03/18/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","36","12","25","30"
"03/19/2020","49","PM2.5","Near Road","11-001-0051","AQS","5","31","19","49","22"
"03/20/2020","44","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","36","17","44","22"
"03/21/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","35","6","18","6"
"03/22/2020","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","40","11","23","7"
"03/23/2020","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","33","6","17","17"
"03/24/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","8","20","22"
"03/25/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","6","17","16"
"03/26/2020","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","37","11","31","24"
"03/27/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","11","24","25"
"03/28/2020","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","11","30","21"
"03/29/2020","35","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","27","11","35","11"
"03/30/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","9","27","17"
"03/31/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","6","14","18"
"04/01/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","35","6","19","15"
"04/02/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","44","7","15","18"
"04/03/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","44","7","12","13"
"04/04/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","5","10","11"
"04/05/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","42","9","25","22"
"04/06/2020","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","12","33","32"
"04/07/2020","45","PM2.5","Near Road","11-001-0051","AQS","7","41","17","45","30"
"04/08/2020","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","10","27","26"
"04/09/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","46","28","26","26"
"04/10/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","41","9","15","8"
"04/11/2020","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","45","10","30","36"
"04/12/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","44","19","39","28"
"04/13/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","42","6","14","14"
"04/14/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","43","6","16","11"
"04/15/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","44","9","21","25"
"04/16/2020","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","45","11","25","30"
"04/17/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","44","19","39","38"
"04/18/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","11","31","28"
"04/19/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","44","12","31","34"
"04/20/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42","16","38","28"
"04/21/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","18","25","23"
"04/22/2020","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","45","10","17","10"
"04/23/2020","35","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","17","29","35"
"04/24/2020","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","32","6","15","19"
"04/25/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","42","9","24","20"
"04/26/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","5","12","9"
"04/27/2020","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","37","5","10","26"
"04/28/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","31","10","25","27"
"04/29/2020","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","47","17","35","25"
"04/30/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","11","17","19"
"05/01/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","36","7","11","19"
"05/02/2020","45","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","45","8","19","13"
"05/03/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","41","13","37","13"
"05/04/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","43","18","15","8"
"05/05/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","10","18","17"
"05/06/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","34","7","17","19"
"05/07/2020","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","48","12","17","31"
"05/08/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","44","16","23","31"
"05/09/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","36",".","13","20"
"05/10/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44",".","20","21"
"05/11/2020","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34",".","14","25"
"05/12/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","43","11","14","28"
"05/13/2020","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","51","17","36","30"
"05/14/2020","49","PM2.5","Near Road","11-001-0051","AQS","6","43","21","49","25"
"05/15/2020","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","48","23","46","16"
"05/16/2020","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","48","13","31","19"
"05/17/2020","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","37","11","24","9"
"05/18/2020","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","38","18","28","16"
"05/19/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42","24","29","23"
"05/20/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","36","19","28","16"
"05/21/2020","38","PM2.5","Near Road","11-001-0051","AQS","8","37","29","38","15"
"05/22/2020","41","PM2.5","Near Road","11-001-0051","AQS","8","31",".","41","14"
"05/23/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","42",".","40","25"
"05/24/2020","30","PM2.5","Near Road","11-001-0051","AQS","10","29","9","30","10"
"05/25/2020","39","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","39","11","28","20"
"05/26/2020","36","PM2.5","Near Road","11-001-0051","AQS","11","34","12","36","18"
"05/27/2020","30","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","30","8","25","11"
"05/28/2020","27","PM2.5","Near Road","11-001-0051","AQS","8","20","9","27","6"
"05/29/2020","45","PM2.5","Near Road","11-001-0051","AQS","8","36","14","45","7"
"05/30/2020","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","48","11","28","11"
"05/31/2020","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","40","10","34","6"
"06/01/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","44",".","30","18"
"06/02/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","44",".","36","24"
"06/03/2020","91","PM2.5","Near Road","11-001-0051","AQS","10","74",".","91","29"
"06/04/2020","74","Ozone","Takoma Rec Center","11-001-0050","AQS","9","74",".","56","30"
"06/05/2020","40","Ozone","Takoma Rec Center","11-001-0050","AQS","8","40",".","35","17"
"06/06/2020","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","54",".","40","19"
"06/07/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","44",".","28","25"
"06/08/2020","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","11","50",".","34","23"
"06/09/2020","67","Ozone","Takoma Rec Center","11-001-0050","AQS","9","67",".","59","27"
"06/10/2020","53","PM2.5","Near Road","11-001-0051","AQS","9","34",".","53","12"
"06/11/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","42",".","35","16"
"06/12/2020","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","61",".","24","11"
"06/13/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","44",".","19","19"
"06/14/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","46",".","24","19"
"06/15/2020","44","Ozone","Takoma Rec Center","11-001-0050","AQS","8","44",".","42","14"
"06/16/2020","44","Ozone","Takoma Rec Center","11-001-0050","AQS","7","44","17","30","15"
"06/17/2020","25","PM2.5","Near Road","11-001-0051","AQS","7","23","8","25","14"
"06/18/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","35","10","27","23"
"06/19/2020","40","PM2.5","Near Road","11-001-0051","AQS","5","34","11","40","19"
"06/20/2020","33","PM2.5","Near Road","11-001-0051","AQS","6","31","10","33","14"
"06/21/2020","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","38","8","33","10"
"06/22/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","13","40","17"
"06/23/2020","45","PM2.5","Near Road","11-001-0051","AQS","5","45","15","45","19"
"06/24/2020","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","51","10","25","18"
"06/25/2020","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","50","15","38","26"
"06/26/2020","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","64","14","33","20"
"06/27/2020","53","PM2.5","Near Road","11-001-0051","AQS","7","45","18","53","20"
"06/28/2020","43","PM2.5","Near Road","11-001-0051","AQS","8","38","13","43","15"
"06/29/2020","43","PM2.5","Near Road","11-001-0051","AQS","6","40","13","43","27"
"06/30/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","46","18","39","24"
"07/01/2020","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","51","19","41","23"
"07/02/2020","46","PM2.5","Near Road","11-001-0051","AQS","7","44","14","46","25"
"07/03/2020","55","PM2.5","RIVER TERRACE","11-001-0041","AQS","6","48","19","55","23"
"07/04/2020","166","PM2.5","Near Road","11-001-0051","AQS","8","45","35","166","29"
"07/05/2020","66","PM2.5","Near Road","11-001-0051","AQS","8","45","20","66","13"
"07/06/2020","55","PM2.5","Near Road","11-001-0051","AQS","5","48","19","55","16"
"07/07/2020","53","PM2.5","Near Road","11-001-0051","AQS","5","50","15","53","18"
"07/08/2020","52","PM2.5","Near Road","11-001-0051","AQS","5","42","16","52","16"
"07/09/2020","36","PM2.5","Near Road","11-001-0051","AQS","5","33","13","36","17"
"07/10/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","9","22","18"
"07/11/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","7","26","12"
"07/12/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","46","10","29","22"
"07/13/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","44","12","36","19"
"07/14/2020","44","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","44","11","28","27"
"07/15/2020","77","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","77","14","43","21"
"07/16/2020","41","PM2.5","Near Road","11-001-0051","AQS","5","41","18","41","17"
"07/17/2020","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","54","13","49","19"
"07/18/2020","87","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","87","12","46","18"
"07/19/2020","61","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","61","15","54","22"
"07/20/2020","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","14","46","20"
"07/21/2020","100","Ozone","Takoma Rec Center","11-001-0050","AQS","5","100","15","40","22"
"07/22/2020","50","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","50","9","46","15"
"07/23/2020","67","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","67","10","33","23"
"07/24/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","3","43","6","30","18"
"07/25/2020","64","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","64","11","38","13"
"07/26/2020","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","51","14","50","20"
"07/27/2020","54","PM2.5","Near Road","11-001-0051","AQS","7","50","17","54","21"
"07/28/2020","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","42","10","33","18"
"07/29/2020","84","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","84","12","31","33"
"07/30/2020","77","Ozone","Takoma Rec Center","11-001-0050","AQS","6","77","15","40","17"
"07/31/2020","38","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","38","6","29","14"
"08/01/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","46","12","38","11"
"08/02/2020","48","PM2.5","Near Road","11-001-0051","AQS","7","34","19","48","8"
"08/03/2020","48","Ozone","Takoma Rec Center","11-001-0050","AQS","6","48","9","24","15"
"08/04/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","31","6","21","18"
"08/05/2020","51","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","51","11","38","19"
"08/06/2020","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","47","9","40","23"
"08/07/2020","40","Ozone","Takoma Rec Center","11-001-0050","AQS","5","40","6","25","18"
"08/08/2020","47","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","47","9","27","20"
"08/09/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","43","11","38","16"
"08/10/2020","58","Ozone","Takoma Rec Center","11-001-0050","AQS","6","58","14","53","33"
"08/11/2020","56","PM2.5","Near Road","11-001-0051","AQS","6","45","18","56","23"
"08/12/2020","50","Ozone","Takoma Rec Center","11-001-0050","AQS","6","50","13","43","25"
"08/13/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","41","8","33","20"
"08/14/2020","40","PM2.5","Near Road","11-001-0051","AQS","3","40","13","40","12"
"08/15/2020","52","PM2.5","Near Road","11-001-0051","AQS","5","34","19","52","15"
"08/16/2020","31","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","31","7","27","16"
"08/17/2020","41","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","41","9","38","21"
"08/18/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","46","15","36","25"
"08/19/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","43","12","33","21"
"08/20/2020","49","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","49","16","37","24"
"08/21/2020","44","Ozone","Takoma Rec Center","11-001-0050","AQS","6","44","14","41","22"
"08/22/2020","36","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","36","8","33","20"
"08/23/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","43","8","26","15"
"08/24/2020","44","Ozone","Takoma Rec Center","11-001-0050","AQS","5","44","10","38","18"
"08/25/2020","49","PM2.5","Near Road","11-001-0051","AQS","5","46","18","49","18"
"08/26/2020","40","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","40","17","32","10"
"08/27/2020","37","PM2.5","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","36","15","37","15"
"08/28/2020","46","PM2.5","Near Road","11-001-0051","AQS","3","33","18","46","15"
"08/29/2020","31","Ozone","RIVER TERRACE","11-001-0041","AQS","3","31","6","27","9"
"08/30/2020","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","37","11","22","24"
"08/31/2020","32","PM2.5","Near Road","11-001-0051","AQS","8","26","11","32","23"
"09/01/2020","30","PM2.5","Near Road","11-001-0051","AQS","6","29","11","30","21"
"09/02/2020","39","PM2.5","Near Road","11-001-0051","AQS","5","32","12","39","17"
"09/03/2020","43","PM2.5","Near Road","11-001-0051","AQS","6","36","11","43","17"
"09/04/2020","43","PM2.5","Near Road","11-001-0051","AQS","5","39","17","43","18"
"09/05/2020","43","Ozone","RIVER TERRACE","11-001-0041","AQS","6","43","11","24","24"
"09/06/2020","46","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","8","46","17","33","22"
"09/07/2020","48","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","48","14","27","19"
"09/08/2020","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","37","17","33","22"
"09/09/2020","33","PM2.5","Near Road","11-001-0051","AQS","5","23","14","33","16"
"09/10/2020","17","PM2.5","Near Road","11-001-0051","AQS","3","15","6","17","13"
"09/11/2020","35","PM2.5","Near Road","11-001-0051","AQS","6","30","14","35","15"
"09/12/2020","28","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","28","16","25","11"
"09/13/2020","35","Ozone","Takoma Rec Center","11-001-0050","AQS","7","35","18","29","17"
"09/14/2020","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","32","10","21","11"
"09/15/2020","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","26","12","21","21"
"09/16/2020","32","PM2.5","Near Road","11-001-0051","AQS","7","32","19","32","25"
"09/17/2020","43","PM2.5","Near Road","11-001-0051","AQS","6","21","21","43","25"
"09/18/2020","39","PM2.5","Near Road","11-001-0051","AQS","3","31","17","39","13"
"09/19/2020","32","Ozone","RIVER TERRACE","11-001-0041","AQS","8","32","11","28","21"
"09/20/2020","34","PM2.5","RIVER TERRACE","11-001-0041","AQS","9","33","14","34","17"
"09/21/2020","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","35","15","30","26"
"09/22/2020","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","10","43","18","36","35"
"09/23/2020","54","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","54","20","34","35"
"09/24/2020","49","PM2.5","Near Road","11-001-0051","AQS","8","30","29","49","34"
"09/25/2020","46","PM2.5","Near Road","11-001-0051","AQS","8","30","17","46","19"
"09/26/2020","28","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","28","8","22","12"
"09/27/2020","26","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","26","7","21","12"
"09/28/2020","35","PM2.5","Near Road","11-001-0051","AQS","7","28","13","35","12"
"09/29/2020","26","Ozone","Takoma Rec Center","11-001-0050","AQS","3","26","9","25","10"
"09/30/2020","30","Ozone","RIVER TERRACE","11-001-0041","AQS","5","30","9","15","17"
