"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/29/2021","32","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","32","9","17","16"
"01/30/2021","46","NO2","Takoma Rec Center","11-001-0050","AQS","8","35","13","23","46"
"01/31/2021","44","NO2","Takoma Rec Center","11-001-0050","AQS","9","29","11","34","44"
"02/01/2021","33","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","33","8","25","21"
"02/02/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","35","6","19","15"
"02/03/2021","37","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","2","37","7","19","19"
"02/04/2021","53","NO2","Takoma Rec Center","11-001-0050","AQS","5","38","16","32","53"
"02/05/2021","35","Ozone","Takoma Rec Center","11-001-0050","AQS","6","35","12","32","25"
"02/06/2021","37","NO2","Takoma Rec Center","11-001-0050","AQS","5","33","11","25","37"
"02/07/2021","34","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","10","28","28"
"02/08/2021","48","PM2.5","Near Road","11-001-0051","AQS","5","31","19","48","37"
"02/09/2021","54","PM2.5","Near Road","11-001-0051","AQS","6","29","19","54","40"
"02/10/2021","68","PM2.5","Near Road","11-001-0051","AQS","8","24","23","68","44"
"02/11/2021","70","PM2.5","Near Road","11-001-0051","AQS","6","30","20","70","29"
"02/12/2021","59","PM2.5","Near Road","11-001-0051","AQS","5","30","23","59","29"
"02/13/2021","58","PM2.5","Near Road","11-001-0051","AQS","5","26","21","58","27"
"02/14/2021","70","PM2.5","Near Road","11-001-0051","AQS","6","29","19","70","34"
"02/15/2021","66","PM2.5","Near Road","11-001-0051","AQS","6","25","23","66","33"
"02/16/2021","72","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","29","6","27","72"
"02/17/2021","81","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","5","34","15","35","81"
"02/18/2021","53","PM2.5","Near Road","11-001-0051","AQS","5","21","17","53","23"
"02/19/2021","47","PM2.5","Near Road","11-001-0051","AQS","3","37","12","47","27"
"02/20/2021","46","PM2.5","Near Road","11-001-0051","AQS","3","43","14","46","22"
"02/21/2021","55","PM2.5","King Greenleaf Rec Center","11-001-0053","AQS","5","44","19","55","25"
"02/22/2021","38","NO2","RIVER TERRACE","11-001-0041","AQS","8","35","12","37","38"
"02/23/2021","40","NO2","RIVER TERRACE","11-001-0041","AQS","10","39","11","39","40"
"02/24/2021","53","NO2","RIVER TERRACE","11-001-0041","AQS","14","44","18","48","53"
"02/25/2021","43","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","43","14","40","42"
"02/26/2021","45","PM2.5","Near Road","11-001-0051","AQS","14","39","15","45","42"
"02/27/2021","35","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","9","35","12","32","33"
"02/28/2021","47","PM2.5","Near Road","11-001-0051","AQS","14","28","8","47","29"
"03/01/2021","55","NO2","MCMILLAN  NCore-PAMS","11-001-0043","AQS","7","36","8","28","55"
"03/02/2021","42","Ozone","MCMILLAN  NCore-PAMS","11-001-0043","AQS","6","42","10","22","35"
"03/03/2021","44","NO2","RIVER TERRACE","11-001-0041","AQS","9","41","14","40","44"
