county,average_cases,average_deaths,geoid,state,estimate_households_with_internet,estimate_number_commuting_to_work,estimate_percent_essential_workers,estimate_mean_earnings_usd,estimate_health_insurance_coverage,estimate_families_below_poverty_line_percent,moe_households_with_internet,moe_number_commuting_to_work,moe_percent_essential_workers,moe_mean_earnings_usd,moe_health_insurance_coverage,moe_families_below_poverty_line_percent
Shenandoah County,4770.491758241758,134.75824175824175,51171,Virginia,14036,20401,19.6,74231,43727,NA,457,616,1.8,4183,133,NA
Smyth County,3404.9835164835163,97.07417582417582,51173,Virginia,9740,11973,25.7,60222,29427,NA,403,566,2.4,5164,183,NA
Southampton County,2047.8379120879122,57.23351648351648,51175,Virginia,5452,7764,26.8,74630,16640,NA,305,395,3.1,5824,332,NA
Spotsylvania County,11108.39010989011,123.17032967032966,51177,Virginia,44675,68338,20,111692,137517,NA,639,1037,1.2,3680,237,NA
Stafford County,12257.285714285714,81.24725274725274,51179,Virginia,47410,77282,19.9,129499,148172,NA,582,1254,1.3,3123,718,NA
Surry County,463.4203296703297,8.837912087912088,51181,Virginia,1979,3113,24,76424,6551,NA,161,234,4.2,7048,16,NA
Sussex County,1256.032967032967,22.35989010989011,51183,Virginia,2711,4420,20.2,70236,9453,NA,207,367,4.8,7050,247,NA
Tazewell County,4208.936813186813,75.20879120879121,51185,Virginia,12733,14255,27.8,69868,39384,NA,506,656,3.1,5590,202,NA
Warren County,3456.752747252747,63.145604395604394,51187,Virginia,13205,19117,20.6,90754,40238,NA,394,686,2.9,4728,118,NA
Westmoreland County,1411.9120879120878,26.447802197802197,51193,Virginia,5982,7236,20.3,82082,18101,NA,396,527,4.5,11424,178,NA
Wise County,3802.002747252747,104.95054945054945,51195,Virginia,9554,12328,26.6,57548,34319,NA,551,761,3,3754,237,NA
Wythe County,3084.381868131868,79.07417582417582,51197,Virginia,9430,12523,23.1,65289,28207,NA,407,485,2.6,4669,98,NA
York County,4071.78021978022,55.23626373626374,51199,Virginia,23171,34810,24.4,107564,65328,NA,470,830,1.8,4145,631,NA
Alexandria city,12190.785714285714,134.47527472527472,51510,Virginia,69116,98482,17.1,138414,154529,NA,850,983,0.9,2922,494,NA
Bristol city,1705.2554945054944,36.46153846153846,51520,Virginia,5611,7611,20.8,68348,16818,NA,352,497,4,7144,83,NA
Buena Vista city,1003.2802197802198,20.64835164835165,51530,Virginia,2132,2955,26.8,82989,6575,NA,217,334,7.1,26831,53,NA
Charlottesville city,4239.096153846154,53.95879120879121,51540,Virginia,16962,24261,39,96521,46270,NA,432,796,2.5,5374,130,NA
Chesapeake city,22435.335164835164,286.36813186813185,51550,Virginia,83030,121283,23.3,100450,234813,NA,772,1693,1,2891,978,NA
Colonial Heights city,1869.7857142857142,57.18681318681319,51570,Virginia,6333,8490,21.6,74310,17894,NA,255,343,2.8,4862,117,NA
Covington city,639.6263736263736,12.796703296703297,51580,Virginia,2112,2274,23.6,48213,5619,NA,194,232,4.4,4947,37,NA
Danville city,4865.214285714285,142.3131868131868,51590,Virginia,13476,16324,28.9,57654,41524,NA,481,608,2.8,3691,186,NA
Emporia city,706.728021978022,41.03846153846154,51595,Virginia,1771,2146,11.5,57575,5591,NA,206,272,4.9,9728,32,NA
Fairfax city,624.8653846153846,20.021978021978022,51600,Virginia,8709,13131,23.4,145803,23537,NA,223,384,2.6,8223,155,NA
Falls Church city,461.1510989010989,8.93131868131868,51610,Virginia,5427,7973,20.5,193751,14382,NA,192,313,3.3,13938,76,NA
Franklin city,1231.0164835164835,33.14010989010989,51620,Virginia,2764,3362,26.7,61625,8156,NA,252,287,5.4,6888,56,NA
Fredericksburg city,2301.535714285714,22.70054945054945,51630,Virginia,9893,15220,25.7,96245,27911,NA,414,634,3.3,8189,75,NA
Galax city,1237.131868131868,52.854395604395606,51640,Virginia,2270,2953,22.1,65921,6468,NA,212,300,6.1,12077,88,NA
Hampton city,11333.222527472528,175.17307692307693,51650,Virginia,49468,67356,22.2,72784,130265,NA,884,1128,1.5,2799,708,NA
Harrisonburg city,6807.197802197802,92.6456043956044,51660,Virginia,13843,23937,25.2,65811,51482,NA,495,809,1.9,3549,148,NA
Hopewell city,2778.252747252747,68.91758241758242,51670,Virginia,7907,9589,22.8,57381,22620,NA,408,653,4.6,4836,209,NA
Lexington city,1255.1978021978023,30.167582417582416,51678,Virginia,1686,2456,52.8,66938,7240,NA,252,392,6.9,11254,21,NA
Lynchburg city,8604.348901098901,148.06043956043956,51680,Virginia,25691,36156,33.7,67509,77407,NA,676,1070,1.9,3065,293,NA
Manassas city,4442.535714285715,46.0467032967033,51683,Virginia,12950,22728,18.1,116953,42480,NA,279,637,2.1,6855,65,NA
Manassas Park city,1203.576923076923,11.348901098901099,51685,Virginia,4903,9791,16.5,108256,17081,NA,217,396,3.2,10479,21,NA
Martinsville city,1713.8186813186812,73.81318681318682,51690,Virginia,4538,5308,24.2,54526,13080,NA,287,345,4.2,5988,172,NA
Newport News city,15304.516483516483,227.07142857142858,51700,Virginia,60865,91965,23.2,71150,174446,NA,994,1558,1.2,1864,987,NA
Norfolk city,18935.513736263736,263.54945054945057,51710,Virginia,79975,129276,24.5,75785,207124,NA,1354,1461,1,2394,1559,NA
Norton city,371.7637362637363,8.381868131868131,51720,Virginia,1005,1464,17.8,68312,3642,NA,171,253,6.8,18597,41,NA
Petersburg city,4017.2252747252746,82.74450549450549,51730,Virginia,11310,14284,25.8,54260,32306,NA,455,562,2.8,3634,279,NA
Poquoson city,965.2087912087912,16.63186813186813,51735,Virginia,4227,6334,21.2,115790,12208,NA,160,286,3.9,6703,81,NA
Portsmouth city,9727.118131868132,191.8543956043956,51740,Virginia,32665,45044,23.4,69522,91304,NA,685,1044,1.7,3964,650,NA
Radford city,2340.4065934065934,22.810439560439562,51750,Virginia,4678,7600,29.9,63289,16070,NA,340,571,4.3,5768,75,NA
Richmond city,18529.840659340658,267.31043956043953,51760,Virginia,80198,117797,24.7,84555,223243,NA,1274,1510,1,2356,348,NA
Roanoke city,9379.739010989011,195.1510989010989,51770,Virginia,34607,47194,25.2,69125,98346,NA,883,1029,1.8,3007,308,NA
Salem city,2504.521978021978,50.44505494505494,51775,Virginia,8526,12582,29.5,92214,24479,NA,363,454,3.2,7143,200,NA
Staunton city,2750.815934065934,69.92582417582418,51790,Virginia,8572,11881,29.8,73618,24812,NA,384,531,2.9,7225,236,NA
Suffolk city,8494.098901098901,189.56593406593407,51800,Virginia,30062,44903,25.5,100470,90781,NA,658,811,1.5,5198,496,NA
Virginia Beach city,38631.21153846154,411.9368131868132,51810,Virginia,164421,244013,23.6,97466,433172,NA,1284,1997,0.7,1641,1288,NA
Waynesboro city,2651.8901098901097,37.61813186813187,51820,Virginia,7911,10714,26.1,66209,21950,NA,411,529,4.1,5644,112,NA
Williamsburg city,828.0137362637363,12.313186813186814,51830,Virginia,4062,6541,36,86453,15072,NA,339,325,4.2,11817,112,NA
Winchester city,3033.401098901099,44.255494505494504,51840,Virginia,8990,14766,25.2,80572,27941,NA,411,464,3.1,4681,125,NA
