date,overall_aqi_value,main_pollutant,site_name_of_overall_aqi,site_id_of_overall_aqi,source_of_overall_aqi,co,ozone,pm25,no2
2020-11-27,43,PM2.5,Near Road,11-001-0051,AQS,9,20,43,26
2020-11-28,40,PM2.5,Near Road,11-001-0051,AQS,11,31,40,25
2020-11-29,40,PM2.5,RIVER TERRACE,11-001-0041,AQS,11,29,40,31
2020-11-30,26,NO2,Near Road,11-001-0051,AQS,5,23,18,26
2020-12-01,22,Ozone,RIVER TERRACE,11-001-0041,AQS,2,22,3,10
2020-12-02,30,Ozone,Takoma Rec Center,11-001-0050,AQS,2,30,10,19
2020-12-03,50,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,23,33,50
2020-12-04,43,PM2.5,Near Road,11-001-0051,AQS,9,22,43,30
2020-12-05,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,8,27,22,27
2020-12-06,31,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,31,10,17
2020-12-07,29,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,29,17,25
2020-12-08,31,Ozone,Takoma Rec Center,11-001-0050,AQS,2,31,16,12
2020-12-09,38,PM2.5,Near Road,11-001-0051,AQS,14,20,38,33
2020-12-10,80,PM2.5,Near Road,11-001-0051,AQS,18,14,80,42
2020-12-11,71,PM2.5,Near Road,11-001-0051,AQS,16,28,71,39
2020-12-12,70,PM2.5,Near Road,11-001-0051,AQS,18,31,70,34
2020-12-13,41,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,3,30,41,25
2020-12-14,26,NO2,RIVER TERRACE,11-001-0041,AQS,3,22,25,26
2020-12-15,33,NO2,RIVER TERRACE,11-001-0041,AQS,7,25,23,33
2020-12-16,37,NO2,RIVER TERRACE,11-001-0041,AQS,8,21,20,37
2020-12-17,35,NO2,RIVER TERRACE,11-001-0041,AQS,5,30,22,35
2020-12-18,29,PM2.5,RIVER TERRACE,11-001-0041,AQS,5,27,29,25
2020-12-19,38,PM2.5,RIVER TERRACE,11-001-0041,AQS,7,19,38,31
2020-12-20,43,PM2.5,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,23,43,26
2020-12-21,53,PM2.5,Near Road,11-001-0051,AQS,6,16,53,24
2020-12-22,23,Ozone,Takoma Rec Center,11-001-0050,AQS,6,23,17,23
2020-12-23,41,NO2,RIVER TERRACE,11-001-0041,AQS,11,20,31,41
2020-12-24,30,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,30,25,27
2020-12-25,22,Ozone,RIVER TERRACE,11-001-0041,AQS,2,22,10,15
2020-12-26,28,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,28,15,25
2020-12-27,34,PM2.5,Near Road,11-001-0051,AQS,8,24,34,31
2020-12-28,35,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,25,34,35
2020-12-29,34,NO2,RIVER TERRACE,11-001-0041,AQS,7,33,22,34
2020-12-30,36,NO2,RIVER TERRACE,11-001-0041,AQS,9,30,29,36
2020-12-31,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,27,23,14
2021-01-01,41,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,3,20,41,20
2021-01-02,22,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,22,19,19
2021-01-03,26,PM2.5,RIVER TERRACE,11-001-0041,AQS,6,16,26,23
2021-01-04,28,PM2.5,RIVER TERRACE,11-001-0041,AQS,7,15,28,22
2021-01-05,34,PM2.5,RIVER TERRACE,11-001-0041,AQS,5,14,34,26
2021-01-06,27,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,27,21,19
2021-01-07,32,NO2,RIVER TERRACE,11-001-0041,AQS,5,31,21,32
2021-01-08,26,NO2,RIVER TERRACE,11-001-0041,AQS,5,24,25,26
2021-01-09,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,34,16,25
2021-01-10,39,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,14,33,38,39
2021-01-11,68,PM2.5,Near Road,11-001-0051,AQS,17,12,68,50
2021-01-12,65,PM2.5,Near Road,11-001-0051,AQS,16,27,65,44
2021-01-13,70,PM2.5,Near Road,11-001-0051,AQS,19,25,70,61
2021-01-14,68,PM2.5,Near Road,11-001-0051,AQS,13,30,68,57
2021-01-15,67,PM2.5,Near Road,11-001-0051,AQS,9,24,67,46
2021-01-16,30,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,30,25,29
2021-01-17,24,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,24,17,24
2021-01-18,31,NO2,RIVER TERRACE,11-001-0041,AQS,6,26,15,31
2021-01-19,44,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,32,20,44
2021-01-20,51,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,15,28,27,51
2021-01-21,47,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,10,28,38,47
2021-01-22,39,NO2,RIVER TERRACE,11-001-0041,AQS,11,33,22,39
2021-01-23,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,33,17,19
2021-01-24,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,33,24,33
2021-01-25,43,PM2.5,RIVER TERRACE,11-001-0041,AQS,7,19,43,32
2021-01-26,43,PM2.5,RIVER TERRACE,11-001-0041,AQS,5,15,43,33
2021-01-27,45,PM2.5,Near Road,11-001-0051,AQS,5,29,45,22
2021-01-28,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,32,21,11
2021-01-29,32,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,32,17,16
2021-01-30,46,NO2,Takoma Rec Center,11-001-0050,AQS,8,35,23,46
2021-01-31,44,NO2,Takoma Rec Center,11-001-0050,AQS,9,29,34,44
2021-02-01,33,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,33,25,21
2021-02-02,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,35,19,15
2021-02-03,37,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,2,37,19,19
2021-02-04,53,NO2,Takoma Rec Center,11-001-0050,AQS,5,38,32,53
2021-02-05,35,Ozone,Takoma Rec Center,11-001-0050,AQS,6,35,32,25
2021-02-06,37,NO2,Takoma Rec Center,11-001-0050,AQS,5,33,25,37
2021-02-07,34,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,28,28
2021-02-08,48,PM2.5,Near Road,11-001-0051,AQS,5,31,48,37
2021-02-09,54,PM2.5,Near Road,11-001-0051,AQS,6,29,54,40
2021-02-10,68,PM2.5,Near Road,11-001-0051,AQS,8,24,68,44
2021-02-11,70,PM2.5,Near Road,11-001-0051,AQS,6,30,70,29
2021-02-12,59,PM2.5,Near Road,11-001-0051,AQS,5,30,59,29
2021-02-13,58,PM2.5,Near Road,11-001-0051,AQS,5,26,58,27
2021-02-14,70,PM2.5,Near Road,11-001-0051,AQS,6,29,70,34
2021-02-15,66,PM2.5,Near Road,11-001-0051,AQS,6,25,66,33
2021-02-16,72,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,29,27,72
2021-02-17,81,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,5,34,35,81
2021-02-18,53,PM2.5,Near Road,11-001-0051,AQS,5,21,53,23
2021-02-19,47,PM2.5,Near Road,11-001-0051,AQS,3,37,47,27
2021-02-20,46,PM2.5,Near Road,11-001-0051,AQS,3,43,46,22
2021-02-21,55,PM2.5,King Greenleaf Rec Center,11-001-0053,AQS,5,44,55,25
2021-02-22,38,NO2,RIVER TERRACE,11-001-0041,AQS,8,35,37,38
2021-02-23,40,NO2,RIVER TERRACE,11-001-0041,AQS,10,39,39,40
2021-02-24,53,NO2,RIVER TERRACE,11-001-0041,AQS,14,44,48,53
2021-02-25,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,43,40,42
2021-02-26,45,PM2.5,Near Road,11-001-0051,AQS,14,39,45,42
2021-02-27,35,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,9,35,32,33
2021-02-28,47,PM2.5,Near Road,11-001-0051,AQS,14,28,47,29
2021-03-01,55,NO2,MCMILLAN  NCore-PAMS,11-001-0043,AQS,7,36,28,55
2021-03-02,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,6,42,22,35
2021-03-03,44,NO2,RIVER TERRACE,11-001-0041,AQS,9,41,40,44
2021-03-04,43,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,13,43,36,43
2021-03-05,42,Ozone,MCMILLAN  NCore-PAMS,11-001-0043,AQS,3,42,18,17
